id;ingredient;similars;co2id
1;3 lb mussels (preferably cultivated), scrubbed and beards removed;"['Mustard seed' 'Butter beans' 'Green beans' 'Blueberries' 'Sesame seed'
 'Button squash' 'Sunflower seed' 'Cucumbers' 'Cranberries' 'Raspberries']";0
2;1 1/2 cups of grated Longhorn cheddar cheese;"['Mustard seed' 'Sunflower seed' 'Tangerines' 'Cranberries' 'Butter beans'
 'Strawberries' 'Strawberries' 'Potatoes' 'Tomatoes' 'Tomatoes']";
3;1 Teaspoon Italian Seasoning & Pinch of Sugar;"['Pilchard' 'Capsicums' 'Tangerines' 'Ling common' 'Green beans'
 'Diamond fish' 'Button squash' 'Spinach' 'Lentils' 'Yoghurt']";0
4;1/2 cup assorted Greek olives;"['Raspberries' 'Watermelons' 'Green beans' 'Butter beans' 'Mustard seed'
 'Mussels' 'Tangerines' 'Aubergines' 'Cranberries' 'Strawberries']";
5;1 1/2 pounds skinless cod fillet, cut into 1-inch-thick strips;"['Ground nuts' 'Coconut milk' 'Button squash' 'Chick peas' 'Almond milk'
 'Ling common' 'Diamond fish' 'Cauliflowers' 'Buffalo milk' 'Pollock']";
6;2/3 cup whole milk;"['Buffalo milk' 'Almond milk' 'Coconut milk' 'Soy-milk' 'Pollock'
 'Broccoli' 'Broccoli' 'Mushrooms' 'Cuttlefish' 'Artichokes']";
7;1 pound fresh squid, cleaned, rinsed, and well dried;"['Sunflower seed' 'Cranberries' 'Button squash' 'Mandarins' 'Rape seed'
 'Nectarines' 'Tangerines' 'Green beans' 'Ground nuts' 'Blueberries']";
8;1/2 teaspoon kosher salt;"['Cashew nut' 'Raspberries' 'Gooseberries' 'Diamond fish' 'Button squash'
 'Peppers' 'Peaches' 'Sunflower seed' 'Mackerel' 'Rape seed']";0
9;1/2 cup of a mixture of fresh small basil and mint leaves;"['Butter beans' 'Ground nuts' 'Green beans' 'Sunflower seed' 'Sea bass'
 'Currants' 'Watermelons' 'Almond milk' 'Buffalo milk' 'Cauliflowers']";0
10;Zest 1 orange;"['Orange' 'Herring' 'Rutabage' 'Chestnuts' 'Asparagus' 'Corn' 'Tangerines'
 'Sesame seed' 'Beans' 'Cranberries']";
11;2 eggs;"['Eggs' 'Peas' 'Figs' 'Eggplants' 'Aubergines' 'Chick peas' 'Beans' 'Dates'
 'Pears' 'Melons']";
12;1 clove garlic, grated;"['Sunflower seed' 'Garlic' 'Nectarines' 'Mustard seed' 'Barley' 'Peaches'
 'Carrots' 'Yoghurt' 'Apricot' 'Tomatoes']";
13;2 cups canola oil;"['Buffalo milk' 'Broccoli' 'Broccoli' 'Quinoa' 'Buffalo' 'Kangaroo'
 'Mandarin' 'Mushrooms' 'Mandarins' 'Cantelope']";0
14;3 Fun size Reeses Peanut Buter Cups;"['Peanuts' 'Ground nuts' 'Green beans' 'Butter beans' 'Chestnuts'
 'Hazelnuts' 'Sesame seed' 'Pears' 'Sunflower seed' 'Butter']";0
15;4 tbsp of crème fraîche;"['Pomfret' 'Peaches' 'Porbeagle' 'Rock fish' 'Sesame seed' 'Raspberries'
 'Button squash' 'Lobster' 'Spinach' 'Tomatoes']";0
16;2 avocados, pitted and peeled;"['Avocados' 'Mustard seed' 'Rape seed' 'Sesame seed' 'Gooseberries'
 'Butter beans' 'Coconut milk' 'Mackerel' 'Cantelope' 'Porbeagle']";
17;2 teaspoons butter, salted or unsalted;"['Butter beans' 'Green beans' 'Watermelons' 'Raspberries' 'Gooseberries'
 'Mustard seed' 'Rape seed' 'Cranberries' 'Strawberries' 'Coconut milk']";
18;1/3 cup fresh cilantro leaves or Thai basil, coarsely chopped;"['Sunflower seed' 'Sesame seed' 'Mustard seed' 'Cantelope' 'Button squash'
 'Sea bass' 'Mushrooms' 'Pineapples' 'Cuttlefish' 'Artichokes']";0
19;3 scallions, finely chopped;"['Cantelope' 'Diamond fish' 'Cauliflowers' 'Pineapples' 'Coconut milk'
 'Buffalo milk' 'Pilchard' 'Rock fish' 'Tangerines' 'Nectarines']";0
20;1 cup AP flour;"['Cauliflowers' 'Buffalo' 'Sunflower seed' 'Pork' 'Buffalo milk' 'Pomelo'
 'Almonds' 'Yoghurt' 'Pomfret' 'Octopus']";0
21;½ cup dry sherry;"['Turkey' 'Mustard seed' 'Cherries' 'Cucumbers' 'Rape seed' 'Mushrooms'
 'Rock fish' 'Blueberries' 'Raspberries' 'Cranberries']";0
22;olive oil spray (I used my Misto);"['Kiwi fruit' 'Asparagus' 'Almond milk' 'Coconut milk' 'Diamond fish'
 'Gooseberries' 'Olives' 'Sunflower seed' 'Avocados' 'Sea bass']";0
23;120 grams rice noodles;"['Artichokes' 'Tangerines' 'Nectarines' 'Cranberries' 'Raspberries'
 'Strawberries' 'Strawberries' 'Cherries' 'Capsicums' 'Mandarins']";
24;1/8 teaspoon black pepper;"['Raspberries' 'Coconut milk' 'Peppers' 'Rutabage' 'Sea bass' 'Mackerel'
 'Cantelope' 'Pineapples' 'Chick peas' 'Sesame seed']";0
25;12 maraschino cherries;"['Cranberries' 'Raspberries' 'Strawberries' 'Strawberries' 'Cherries'
 'Tangerines' 'Gooseberries' 'Artichokes' 'Nectarines' 'Pistachios']";0
26;1 cup Chicken Stock;"['Chicken' 'Chick peas' 'Cashew nut' 'Quinoa' 'Quinces' 'Apricot'
 'Pumpkins' 'Zucchini' 'Cantelope' 'Chestnuts']";0
27;1 tablespoon sugar;"['Button squash' 'Kangaroo' 'Watermelons' 'Strawberries' 'Melons' 'Melons'
 'Strawberries' 'Diamond fish' 'Salmon' 'Walnuts']";0
